company_id,company_name,industry,region,year,revenue,profit_margin,market_cap,growth_rate,esg_overall,esg_environmental,esg_social,esg_governance,carbon_emissions,water_usage,energy_consumption,growth_rate_lag1,revenue_lag1,profit_margin_lag1,revenue_growth,profit_trend,year_normalized
1,Company_1,Retail,Latin America,2015,0.0023415913195721,0.3714285714285714,0.0003879714294926,0.5527027027027027,0.5481081081081082,0.6070000000000001,0.335,0.768,0.0001926173689807,0.0003210314588601,3.793658962420151e-05,,,,,,0
1,Company_1,Retail,Latin America,2016,0.0024223549228458,0.3514285714285714,0.0004216025543012,0.5297297297297298,0.544864864864865,0.589,0.3279999999999999,0.785,0.0002025959632676,0.0003376635366954,3.993234836113114e-05,0.5527027027027027,0.0023415913195721,0.3714285714285714,0.03449090479565764,-0.019999999999999962,1
1,Company_1,Retail,Latin America,2017,0.0029262976802591,0.36,0.0003601188484656,0.745945945945946,0.5427027027027027,0.5760000000000001,0.34,0.778,0.0002467750651363,0.0004112949916731,4.876814843870822e-05,0.5297297297297298,0.0024223549228458,0.3514285714285714,0.20803836492352845,0.008571428571428563,2
1,Company_1,Retail,Latin America,2018,0.0028903412815413,0.3471428571428571,0.0003249853022738,0.4716216216216216,0.558918918918919,0.623,0.334,0.783,0.0002332410976476,0.0003887391600882,4.606132131707807e-05,0.745945945945946,0.0029262976802591,0.36,-0.012287334593593435,-0.0128571428571429,3
1,Company_1,Retail,Latin America,2019,0.0028687674423107,0.3557142857142857,0.0006198066060081,0.477027027027027,0.5437837837837839,0.637,0.3,0.761,0.0002283549005832,0.000380594477331,4.508409050146461e-05,0.4716216216216216,0.0028903412815413,0.3471428571428571,-0.007464114832520963,0.008571428571428619,4
1,Company_1,Retail,Latin America,2020,0.0029406802397462,0.3714285714285714,0.0004418274575366,0.5175675675675676,0.5340540540540542,0.6509999999999999,0.285,0.735,0.0002309166072844,0.0003848640218888,4.559648477124759e-05,0.477027027027027,0.0028687674423107,0.3557142857142857,0.025067489394531295,0.01571428571428568,5
1,Company_1,Retail,Latin America,2021,0.0031436955986602,0.36,0.0005518509311372,0.5743243243243243,0.5329729729729731,0.668,0.255,0.746,0.0002425097660415,0.0004041861042548,4.791509612452631e-05,0.5175675675675676,0.0029406802397462,0.3714285714285714,0.06903686982693547,-0.011428571428571399,6
1,Company_1,Retail,Latin America,2022,0.0030828463085224,0.3457142857142857,0.0002849977793056,0.4621621621621622,0.5556756756756758,0.6900000000000001,0.271,0.7690000000000001,0.0002325874603772,0.0003876497561181,4.593059501307336e-05,0.5743243243243243,0.0031436955986602,0.36,-0.019355973957444594,-0.01428571428571429,7
1,Company_1,Retail,Latin America,2023,0.0033234775922489,0.3614285714285714,0.0004300392282223,0.5851351351351352,0.5567567567567568,0.6829999999999999,0.27,0.7809999999999999,0.0002522310409109,0.0004203893130404,4.985927655697606e-05,0.4621621621621622,0.0030828463085224,0.3457142857142857,0.0780549075901984,0.01571428571428568,8
1,Company_1,Retail,Latin America,2024,0.0036017248007877,0.3514285714285714,0.000529661323016,0.5932432432432433,0.5643243243243243,0.6890000000000001,0.299,0.768,0.0002713737675784,0.000452292192397,5.36877307720175e-05,0.5851351351351352,0.0033234775922489,0.3614285714285714,0.08372170439413673,-0.009999999999999953,9
1,Company_1,Retail,Latin America,2025,0.0038644830991096,0.3571428571428571,0.0007246293902052,0.5797297297297298,0.5718918918918919,0.7070000000000001,0.291,0.78,0.0002858290304816,0.0004763854429414,5.657887279239595e-05,0.5932432432432433,0.0036017248007877,0.3514285714285714,0.07295346336967068,0.005714285714285672,10
2,Company_2,Retail,Asia,2015,0.0160360006527469,0.2442857142857142,0.0020817781827381,0.5527027027027027,0.5794594594594595,0.611,0.486,0.698,0.0012895378809311,0.0021492466092823,0.0002573187619849,,,,,,0
